activation_policy_installed,batch_size,case,cce_installed,chips,dataset_mode,default_ce,failure_type,final_loss,first_step_time_sec,lora_rank,loss_tokens_per_sec_excl_first,max_length,max_steps,mean_loss,mean_step_time_sec_excl_first,mesh_fsdp,mesh_tp,model,model_id,oom_exceeded_gib,oom_limit_gib,oom_used_gib,run_dir,runtime_hbm_headroom_gb,runtime_hbm_limit_gb,runtime_peak_hbm_gb,second_step_time_sec,splash_attention_installed,status,steps_recorded,suite,tiled_mlp_installed,token_chunk,tpu,valid_tokens_per_sec_excl_first,variant,vocab_chunk,wall_time_sec,xla_report,xla_train_step_gib_per_chip,source_csv,ok,model_order,variant_label,mesh
False,1,focused_frontier_fsdp8_tp1_cce_r16_b1_l512_tc128_vc8192,True,8,synthetic,False,,1.8865981101989744,95.25253505599994,16,149.94774365240144,512,2,2.3051998615264893,0.3401184889999058,8,1,Gemma3 12B,google/gemma-3-12b-it,,,,/tmp/gemma-cce-12b-focused/focused_frontier_fsdp8_tp1/focused_frontier_fsdp8_tp1_cce_r16_b1_l512_tc128_vc8192,84.643012608,135.27465984,50.631647232,0.3401184889999058,False,ok,2.0,focused_frontier_fsdp8_tp1,False,128,v5litepod-8,320.47655015905406,cce,8192,138.72707777799997,/tmp/gemma-cce-12b-focused/focused_frontier_fsdp8_tp1/focused_frontier_fsdp8_tp1_cce_r16_b1_l512_tc128_vc8192/xla/module_0676.jit__train_step.cl_914450892.after_optimizations-memory-usage-report.txt,9.19,data/gemma3_12b_27b_cce_focused/raw/gemma-cce-12b-focused-large-frontier-fsdp/gemma-cce-12b-focused/focused_frontier_fsdp8_tp1/focused_frontier_fsdp8_tp1_results.csv,True,0,CCE,fsdp8/tp1
False,1,focused_frontier_fsdp8_tp1_default_r16_b1_l512_tc128_vc8192,False,8,synthetic,True,,1.8685094118118288,96.27660921700004,16,151.84940426438914,512,2,2.2985045313835144,0.335859072000062,8,1,Gemma3 12B,google/gemma-3-12b-it,,,,/tmp/gemma-cce-12b-focused/focused_frontier_fsdp8_tp1/focused_frontier_fsdp8_tp1_default_r16_b1_l512_tc128_vc8192,84.618887168,135.27465984,50.655772672,0.335859072000062,False,ok,2.0,focused_frontier_fsdp8_tp1,False,128,v5litepod-8,324.5408836238905,default,8192,148.01717475200002,/tmp/gemma-cce-12b-focused/focused_frontier_fsdp8_tp1/focused_frontier_fsdp8_tp1_default_r16_b1_l512_tc128_vc8192/xla/module_0676.jit__train_step.cl_914450892.after_optimizations-memory-usage-report.txt,9.43,data/gemma3_12b_27b_cce_focused/raw/gemma-cce-12b-focused-large-frontier-fsdp/gemma-cce-12b-focused/focused_frontier_fsdp8_tp1/focused_frontier_fsdp8_tp1_results.csv,True,0,Default CE,fsdp8/tp1
False,1,focused_frontier_fsdp8_tp1_cce_r16_b1_l1024_tc128_vc8192,True,8,synthetic,False,,1.5159187316894531,93.389862516,16,84.03602998316362,1024,2,2.110371947288513,0.6068825480001578,8,1,Gemma3 12B,google/gemma-3-12b-it,,,,/tmp/gemma-cce-12b-focused/focused_frontier_fsdp8_tp1/focused_frontier_fsdp8_tp1_cce_r16_b1_l1024_tc128_vc8192,84.59767808,135.27465984,50.67698176,0.6068825480001578,False,ok,2.0,focused_frontier_fsdp8_tp1,False,128,v5litepod-8,179.6064170228399,cce,8192,132.8663011619999,/tmp/gemma-cce-12b-focused/focused_frontier_fsdp8_tp1/focused_frontier_fsdp8_tp1_cce_r16_b1_l1024_tc128_vc8192/xla/module_0676.jit__train_step.cl_914450892.after_optimizations-memory-usage-report.txt,12.4,data/gemma3_12b_27b_cce_focused/raw/gemma-cce-12b-focused-large-frontier-fsdp/gemma-cce-12b-focused/focused_frontier_fsdp8_tp1/focused_frontier_fsdp8_tp1_results.csv,True,0,CCE,fsdp8/tp1
False,1,focused_frontier_fsdp8_tp1_default_r16_b1_l1024_tc128_vc8192,False,8,synthetic,True,,1.51521098613739,94.72461381899996,16,113.63007271298314,1024,2,2.103458821773529,0.4488248469999689,8,1,Gemma3 12B,google/gemma-3-12b-it,,,,/tmp/gemma-cce-12b-focused/focused_frontier_fsdp8_tp1/focused_frontier_fsdp8_tp1_default_r16_b1_l1024_tc128_vc8192,84.569382912,135.27465984,50.705276928,0.4488248469999689,False,ok,2.0,focused_frontier_fsdp8_tp1,False,128,v5litepod-8,242.85642991598357,default,8192,153.057676699,/tmp/gemma-cce-12b-focused/focused_frontier_fsdp8_tp1/focused_frontier_fsdp8_tp1_default_r16_b1_l1024_tc128_vc8192/xla/module_0676.jit__train_step.cl_914450892.after_optimizations-memory-usage-report.txt,12.91,data/gemma3_12b_27b_cce_focused/raw/gemma-cce-12b-focused-large-frontier-fsdp/gemma-cce-12b-focused/focused_frontier_fsdp8_tp1/focused_frontier_fsdp8_tp1_results.csv,True,0,Default CE,fsdp8/tp1
,1,focused_frontier_fsdp8_tp1_cce_r16_b1_l2048_tc128_vc8192,,8,synthetic,,compile_oom,,,16,,2048,2,,,8,1,Gemma3 12B,google/gemma-3-12b-it,4.72,15.75,20.47,/tmp/gemma-cce-12b-focused/focused_frontier_fsdp8_tp1/focused_frontier_fsdp8_tp1_cce_r16_b1_l2048_tc128_vc8192,,,,,,failed,,focused_frontier_fsdp8_tp1,,128,v5litepod-8,,cce,8192,,/tmp/gemma-cce-12b-focused/focused_frontier_fsdp8_tp1/focused_frontier_fsdp8_tp1_cce_r16_b1_l2048_tc128_vc8192/xla/module_0676.jit__train_step.cl_914450892.after_optimizations-memory-usage-report.txt,20.47,data/gemma3_12b_27b_cce_focused/raw/gemma-cce-12b-focused-large-frontier-fsdp/gemma-cce-12b-focused/focused_frontier_fsdp8_tp1/focused_frontier_fsdp8_tp1_results.csv,False,0,CCE,fsdp8/tp1
,1,focused_frontier_fsdp8_tp1_default_r16_b1_l2048_tc128_vc8192,,8,synthetic,,compile_oom,,,16,,2048,2,,,8,1,Gemma3 12B,google/gemma-3-12b-it,,,,/tmp/gemma-cce-12b-focused/focused_frontier_fsdp8_tp1/focused_frontier_fsdp8_tp1_default_r16_b1_l2048_tc128_vc8192,,,,,,failed,,focused_frontier_fsdp8_tp1,,128,v5litepod-8,,default,8192,,/tmp/gemma-cce-12b-focused/focused_frontier_fsdp8_tp1/focused_frontier_fsdp8_tp1_default_r16_b1_l2048_tc128_vc8192/xla/module_0676.jit__train_step.cl_914450892.after_optimizations-memory-usage-report.txt,22.29,data/gemma3_12b_27b_cce_focused/raw/gemma-cce-12b-focused-large-frontier-fsdp/gemma-cce-12b-focused/focused_frontier_fsdp8_tp1/focused_frontier_fsdp8_tp1_results.csv,False,0,Default CE,fsdp8/tp1
,1,focused_frontier_fsdp8_tp1_cce_r16_b1_l4096_tc128_vc8192,,8,synthetic,,compile_oom,,,16,,4096,2,,,8,1,Gemma3 12B,google/gemma-3-12b-it,25.87,15.75,41.62,/tmp/gemma-cce-12b-focused/focused_frontier_fsdp8_tp1/focused_frontier_fsdp8_tp1_cce_r16_b1_l4096_tc128_vc8192,,,,,,failed,,focused_frontier_fsdp8_tp1,,128,v5litepod-8,,cce,8192,,/tmp/gemma-cce-12b-focused/focused_frontier_fsdp8_tp1/focused_frontier_fsdp8_tp1_cce_r16_b1_l4096_tc128_vc8192/xla/module_0676.jit__train_step.cl_914450892.after_optimizations-memory-usage-report.txt,47.46,data/gemma3_12b_27b_cce_focused/raw/gemma-cce-12b-focused-large-frontier-fsdp/gemma-cce-12b-focused/focused_frontier_fsdp8_tp1/focused_frontier_fsdp8_tp1_results.csv,False,0,CCE,fsdp8/tp1
,1,focused_frontier_fsdp8_tp1_default_r16_b1_l4096_tc128_vc8192,,8,synthetic,,compile_oom,,,16,,4096,2,,,8,1,Gemma3 12B,google/gemma-3-12b-it,28.97,15.75,44.72,/tmp/gemma-cce-12b-focused/focused_frontier_fsdp8_tp1/focused_frontier_fsdp8_tp1_default_r16_b1_l4096_tc128_vc8192,,,,,,failed,,focused_frontier_fsdp8_tp1,,128,v5litepod-8,,default,8192,,/tmp/gemma-cce-12b-focused/focused_frontier_fsdp8_tp1/focused_frontier_fsdp8_tp1_default_r16_b1_l4096_tc128_vc8192/xla/module_0676.jit__train_step.cl_914450892.after_optimizations-memory-usage-report.txt,50.56,data/gemma3_12b_27b_cce_focused/raw/gemma-cce-12b-focused-large-frontier-fsdp/gemma-cce-12b-focused/focused_frontier_fsdp8_tp1/focused_frontier_fsdp8_tp1_results.csv,False,0,Default CE,fsdp8/tp1
False,2,focused_frontier_fsdp8_tp1_cce_r16_b2_l512_tc128_vc8192,True,8,synthetic,False,,1.4553240537643433,85.85592616500026,16,219.1670511954505,512,2,2.162936747074127,0.4653984230003516,8,1,Gemma3 12B,google/gemma-3-12b-it,,,,/tmp/gemma-cce-12b-focused/focused_frontier_fsdp8_tp1/focused_frontier_fsdp8_tp1_cce_r16_b2_l512_tc128_vc8192,84.636516352,135.27465984,50.638143488,0.4653984230003516,False,ok,2.0,focused_frontier_fsdp8_tp1,False,128,v5litepod-8,468.4158545157668,cce,8192,130.31374519700012,/tmp/gemma-cce-12b-focused/focused_frontier_fsdp8_tp1/focused_frontier_fsdp8_tp1_cce_r16_b2_l512_tc128_vc8192/xla/module_0676.jit__train_step.cl_914450892.after_optimizations-memory-usage-report.txt,12.64,data/gemma3_12b_27b_cce_focused/raw/gemma-cce-12b-focused-large-frontier-fsdp/gemma-cce-12b-focused/focused_frontier_fsdp8_tp1/focused_frontier_fsdp8_tp1_results.csv,True,0,CCE,fsdp8/tp1
False,2,focused_frontier_fsdp8_tp1_default_r16_b2_l512_tc128_vc8192,False,8,synthetic,True,,1.455889344215393,83.91292347199987,16,235.1071887211254,512,2,2.1624624133110046,0.433844666999903,8,1,Gemma3 12B,google/gemma-3-12b-it,,,,/tmp/gemma-cce-12b-focused/focused_frontier_fsdp8_tp1/focused_frontier_fsdp8_tp1_default_r16_b2_l512_tc128_vc8192,84.641923072,135.27465984,50.632736768,0.433844666999903,False,ok,2.0,focused_frontier_fsdp8_tp1,False,128,v5litepod-8,502.4839915804445,default,8192,127.10753337799996,/tmp/gemma-cce-12b-focused/focused_frontier_fsdp8_tp1/focused_frontier_fsdp8_tp1_default_r16_b2_l512_tc128_vc8192/xla/module_0676.jit__train_step.cl_914450892.after_optimizations-memory-usage-report.txt,13.14,data/gemma3_12b_27b_cce_focused/raw/gemma-cce-12b-focused-large-frontier-fsdp/gemma-cce-12b-focused/focused_frontier_fsdp8_tp1/focused_frontier_fsdp8_tp1_results.csv,True,0,Default CE,fsdp8/tp1
,2,focused_frontier_fsdp8_tp1_cce_r16_b2_l1024_tc128_vc8192,,8,synthetic,,compile_oom,,,16,,1024,2,,,8,1,Gemma3 12B,google/gemma-3-12b-it,4.37,15.75,20.12,/tmp/gemma-cce-12b-focused/focused_frontier_fsdp8_tp1/focused_frontier_fsdp8_tp1_cce_r16_b2_l1024_tc128_vc8192,,,,,,failed,,focused_frontier_fsdp8_tp1,,128,v5litepod-8,,cce,8192,,/tmp/gemma-cce-12b-focused/focused_frontier_fsdp8_tp1/focused_frontier_fsdp8_tp1_cce_r16_b2_l1024_tc128_vc8192/xla/module_0676.jit__train_step.cl_914450892.after_optimizations-memory-usage-report.txt,20.12,data/gemma3_12b_27b_cce_focused/raw/gemma-cce-12b-focused-large-frontier-fsdp/gemma-cce-12b-focused/focused_frontier_fsdp8_tp1/focused_frontier_fsdp8_tp1_results.csv,False,0,CCE,fsdp8/tp1
,2,focused_frontier_fsdp8_tp1_default_r16_b2_l1024_tc128_vc8192,,8,synthetic,,compile_oom,,,16,,1024,2,,,8,1,Gemma3 12B,google/gemma-3-12b-it,,,,/tmp/gemma-cce-12b-focused/focused_frontier_fsdp8_tp1/focused_frontier_fsdp8_tp1_default_r16_b2_l1024_tc128_vc8192,,,,,,failed,,focused_frontier_fsdp8_tp1,,128,v5litepod-8,,default,8192,,/tmp/gemma-cce-12b-focused/focused_frontier_fsdp8_tp1/focused_frontier_fsdp8_tp1_default_r16_b2_l1024_tc128_vc8192/xla/module_0676.jit__train_step.cl_914450892.after_optimizations-memory-usage-report.txt,21.92,data/gemma3_12b_27b_cce_focused/raw/gemma-cce-12b-focused-large-frontier-fsdp/gemma-cce-12b-focused/focused_frontier_fsdp8_tp1/focused_frontier_fsdp8_tp1_results.csv,False,0,Default CE,fsdp8/tp1
,2,focused_frontier_fsdp8_tp1_cce_r16_b2_l2048_tc128_vc8192,,8,synthetic,,compile_oom,,,16,,2048,2,,,8,1,Gemma3 12B,google/gemma-3-12b-it,25.85,15.75,41.59,/tmp/gemma-cce-12b-focused/focused_frontier_fsdp8_tp1/focused_frontier_fsdp8_tp1_cce_r16_b2_l2048_tc128_vc8192,,,,,,failed,,focused_frontier_fsdp8_tp1,,128,v5litepod-8,,cce,8192,,/tmp/gemma-cce-12b-focused/focused_frontier_fsdp8_tp1/focused_frontier_fsdp8_tp1_cce_r16_b2_l2048_tc128_vc8192/xla/module_0676.jit__train_step.cl_914450892.after_optimizations-memory-usage-report.txt,47.43,data/gemma3_12b_27b_cce_focused/raw/gemma-cce-12b-focused-large-frontier-fsdp/gemma-cce-12b-focused/focused_frontier_fsdp8_tp1/focused_frontier_fsdp8_tp1_results.csv,False,0,CCE,fsdp8/tp1
,2,focused_frontier_fsdp8_tp1_default_r16_b2_l2048_tc128_vc8192,,8,synthetic,,compile_oom,,,16,,2048,2,,,8,1,Gemma3 12B,google/gemma-3-12b-it,29.33,15.75,45.08,/tmp/gemma-cce-12b-focused/focused_frontier_fsdp8_tp1/focused_frontier_fsdp8_tp1_default_r16_b2_l2048_tc128_vc8192,,,,,,failed,,focused_frontier_fsdp8_tp1,,128,v5litepod-8,,default,8192,,/tmp/gemma-cce-12b-focused/focused_frontier_fsdp8_tp1/focused_frontier_fsdp8_tp1_default_r16_b2_l2048_tc128_vc8192/xla/module_0676.jit__train_step.cl_914450892.after_optimizations-memory-usage-report.txt,50.92,data/gemma3_12b_27b_cce_focused/raw/gemma-cce-12b-focused-large-frontier-fsdp/gemma-cce-12b-focused/focused_frontier_fsdp8_tp1/focused_frontier_fsdp8_tp1_results.csv,False,0,Default CE,fsdp8/tp1
,2,focused_frontier_fsdp8_tp1_cce_r16_b2_l4096_tc128_vc8192,,8,synthetic,,compile_oom,,,16,,4096,2,,,8,1,Gemma3 12B,google/gemma-3-12b-it,115.84,15.75,131.58,/tmp/gemma-cce-12b-focused/focused_frontier_fsdp8_tp1/focused_frontier_fsdp8_tp1_cce_r16_b2_l4096_tc128_vc8192,,,,,,failed,,focused_frontier_fsdp8_tp1,,128,v5litepod-8,,cce,8192,,/tmp/gemma-cce-12b-focused/focused_frontier_fsdp8_tp1/focused_frontier_fsdp8_tp1_cce_r16_b2_l4096_tc128_vc8192/xla/module_0676.jit__train_step.cl_914450892.after_optimizations-memory-usage-report.txt,137.42,data/gemma3_12b_27b_cce_focused/raw/gemma-cce-12b-focused-large-frontier-fsdp/gemma-cce-12b-focused/focused_frontier_fsdp8_tp1/focused_frontier_fsdp8_tp1_results.csv,False,0,CCE,fsdp8/tp1
,2,focused_frontier_fsdp8_tp1_default_r16_b2_l4096_tc128_vc8192,,8,synthetic,,compile_oom,,,16,,4096,2,,,8,1,Gemma3 12B,google/gemma-3-12b-it,122.27,15.75,138.02,/tmp/gemma-cce-12b-focused/focused_frontier_fsdp8_tp1/focused_frontier_fsdp8_tp1_default_r16_b2_l4096_tc128_vc8192,,,,,,failed,,focused_frontier_fsdp8_tp1,,128,v5litepod-8,,default,8192,,/tmp/gemma-cce-12b-focused/focused_frontier_fsdp8_tp1/focused_frontier_fsdp8_tp1_default_r16_b2_l4096_tc128_vc8192/xla/module_0676.jit__train_step.cl_914450892.after_optimizations-memory-usage-report.txt,143.85,data/gemma3_12b_27b_cce_focused/raw/gemma-cce-12b-focused-large-frontier-fsdp/gemma-cce-12b-focused/focused_frontier_fsdp8_tp1/focused_frontier_fsdp8_tp1_results.csv,False,0,Default CE,fsdp8/tp1
,4,focused_frontier_fsdp8_tp1_cce_r16_b4_l512_tc128_vc8192,,8,synthetic,,compile_oom,,,16,,512,2,,,8,1,Gemma3 12B,google/gemma-3-12b-it,1.56,15.75,17.31,/tmp/gemma-cce-12b-focused/focused_frontier_fsdp8_tp1/focused_frontier_fsdp8_tp1_cce_r16_b4_l512_tc128_vc8192,,,,,,failed,,focused_frontier_fsdp8_tp1,,128,v5litepod-8,,cce,8192,,/tmp/gemma-cce-12b-focused/focused_frontier_fsdp8_tp1/focused_frontier_fsdp8_tp1_cce_r16_b4_l512_tc128_vc8192/xla/module_0676.jit__train_step.cl_914450892.after_optimizations-memory-usage-report.txt,17.31,data/gemma3_12b_27b_cce_focused/raw/gemma-cce-12b-focused-large-frontier-fsdp/gemma-cce-12b-focused/focused_frontier_fsdp8_tp1/focused_frontier_fsdp8_tp1_results.csv,False,0,CCE,fsdp8/tp1
,4,focused_frontier_fsdp8_tp1_default_r16_b4_l512_tc128_vc8192,,8,synthetic,,compile_oom,,,16,,512,2,,,8,1,Gemma3 12B,google/gemma-3-12b-it,3.26,15.75,19.01,/tmp/gemma-cce-12b-focused/focused_frontier_fsdp8_tp1/focused_frontier_fsdp8_tp1_default_r16_b4_l512_tc128_vc8192,,,,,,failed,,focused_frontier_fsdp8_tp1,,128,v5litepod-8,,default,8192,,/tmp/gemma-cce-12b-focused/focused_frontier_fsdp8_tp1/focused_frontier_fsdp8_tp1_default_r16_b4_l512_tc128_vc8192/xla/module_0676.jit__train_step.cl_914450892.after_optimizations-memory-usage-report.txt,19.01,data/gemma3_12b_27b_cce_focused/raw/gemma-cce-12b-focused-large-frontier-fsdp/gemma-cce-12b-focused/focused_frontier_fsdp8_tp1/focused_frontier_fsdp8_tp1_results.csv,False,0,Default CE,fsdp8/tp1
,4,focused_frontier_fsdp8_tp1_cce_r16_b4_l1024_tc128_vc8192,,8,synthetic,,compile_oom,,,16,,1024,2,,,8,1,Gemma3 12B,google/gemma-3-12b-it,13.95,15.75,29.69,/tmp/gemma-cce-12b-focused/focused_frontier_fsdp8_tp1/focused_frontier_fsdp8_tp1_cce_r16_b4_l1024_tc128_vc8192,,,,,,failed,,focused_frontier_fsdp8_tp1,,128,v5litepod-8,,cce,8192,,/tmp/gemma-cce-12b-focused/focused_frontier_fsdp8_tp1/focused_frontier_fsdp8_tp1_cce_r16_b4_l1024_tc128_vc8192/xla/module_0676.jit__train_step.cl_914450892.after_optimizations-memory-usage-report.txt,35.53,data/gemma3_12b_27b_cce_focused/raw/gemma-cce-12b-focused-large-frontier-fsdp/gemma-cce-12b-focused/focused_frontier_fsdp8_tp1/focused_frontier_fsdp8_tp1_results.csv,False,0,CCE,fsdp8/tp1
,4,focused_frontier_fsdp8_tp1_default_r16_b4_l1024_tc128_vc8192,,8,synthetic,,compile_oom,,,16,,1024,2,,,8,1,Gemma3 12B,google/gemma-3-12b-it,17.48,15.75,33.22,/tmp/gemma-cce-12b-focused/focused_frontier_fsdp8_tp1/focused_frontier_fsdp8_tp1_default_r16_b4_l1024_tc128_vc8192,,,,,,failed,,focused_frontier_fsdp8_tp1,,128,v5litepod-8,,default,8192,,/tmp/gemma-cce-12b-focused/focused_frontier_fsdp8_tp1/focused_frontier_fsdp8_tp1_default_r16_b4_l1024_tc128_vc8192/xla/module_0676.jit__train_step.cl_914450892.after_optimizations-memory-usage-report.txt,39.06,data/gemma3_12b_27b_cce_focused/raw/gemma-cce-12b-focused-large-frontier-fsdp/gemma-cce-12b-focused/focused_frontier_fsdp8_tp1/focused_frontier_fsdp8_tp1_results.csv,False,0,Default CE,fsdp8/tp1
