suite,mesh,mesh_fsdp,mesh_tp,batch_size,max_length,max_steps,token_chunk,vocab_chunk,mean_step_time_sec_excl_first,valid_tokens_per_sec_excl_first,xla_train_step_gib_per_chip,final_loss,source_csv,step_time_rank,throughput_rank
fourchip_chunk_candidate_fsdp2_tp2,fsdp2/tp2,2,2,16,512,8,512,65536,0.8320036785714494,2144.2212888567133,2.65,0.2277822941541671,data/gemma3_270m_4chip_chunk/raw/gemma3-270m-cce-impl-chunk-candidate/gemma3-270m-cce-impl-chunk-candidate/fourchip_chunk_candidate_fsdp2_tp2/fourchip_chunk_candidate_fsdp2_tp2_results.csv,1.0,1.0
fourchip_chunk_candidate_fsdp2_tp2,fsdp2/tp2,2,2,16,512,8,512,32768,1.2718780212853744,1402.650230717148,2.65,0.2316133975982666,data/gemma3_270m_4chip_chunk/raw/gemma3-270m-cce-impl-chunk-candidate/gemma3-270m-cce-impl-chunk-candidate/fourchip_chunk_candidate_fsdp2_tp2/fourchip_chunk_candidate_fsdp2_tp2_results.csv,2.0,2.0
fourchip_chunk_fsdp2_tp2_b16_l512,fsdp2/tp2,2,2,16,512,4,512,32768,1.2890039590007898,1377.8080258005723,2.65,1.3311998844146729,data/gemma3_270m_4chip_chunk/raw/gemma3-270m-cce-4chip-chunk-fourchip-chunk-2x2/gemma3-270m-cce-4chip-chunk/fourchip_chunk_fsdp2_tp2_b16_l512/fourchip_chunk_fsdp2_tp2_b16_l512_results.csv,3.0,3.0
fourchip_chunk_candidate_fsdp2_tp2,fsdp2/tp2,2,2,16,1024,8,512,65536,1.6659871499993772,1070.83659078683,5.13,0.2230014950037002,data/gemma3_270m_4chip_chunk/raw/gemma3-270m-cce-impl-chunk-candidate/gemma3-270m-cce-impl-chunk-candidate/fourchip_chunk_candidate_fsdp2_tp2/fourchip_chunk_candidate_fsdp2_tp2_results.csv,4.0,4.0
fourchip_chunk_fsdp2_tp2_b16_l512,fsdp2/tp2,2,2,16,512,4,512,16384,2.2200795209998128,799.9713448102879,2.65,1.3153165578842163,data/gemma3_270m_4chip_chunk/raw/gemma3-270m-cce-4chip-chunk-fourchip-chunk-2x2/gemma3-270m-cce-4chip-chunk/fourchip_chunk_fsdp2_tp2_b16_l512/fourchip_chunk_fsdp2_tp2_b16_l512_results.csv,5.0,5.0
fourchip_chunk_fsdp2_tp2_b16_l512,fsdp2/tp2,2,2,16,512,4,256,32768,2.221776464333137,799.3603445309085,2.65,1.3311998844146729,data/gemma3_270m_4chip_chunk/raw/gemma3-270m-cce-4chip-chunk-fourchip-chunk-2x2/gemma3-270m-cce-4chip-chunk/fourchip_chunk_fsdp2_tp2_b16_l512/fourchip_chunk_fsdp2_tp2_b16_l512_results.csv,6.0,6.0
fourchip_chunk_candidate_fsdp2_tp2,fsdp2/tp2,2,2,16,1024,8,512,32768,2.545055616856968,700.9669997715655,5.13,0.2300854325294494,data/gemma3_270m_4chip_chunk/raw/gemma3-270m-cce-impl-chunk-candidate/gemma3-270m-cce-impl-chunk-candidate/fourchip_chunk_candidate_fsdp2_tp2/fourchip_chunk_candidate_fsdp2_tp2_results.csv,7.0,7.0
fourchip_chunk_fsdp2_tp2_b16_l512,fsdp2/tp2,2,2,16,512,4,256,16384,4.089818551667122,434.2490938323056,2.65,1.3153165578842163,data/gemma3_270m_4chip_chunk/raw/gemma3-270m-cce-4chip-chunk-fourchip-chunk-2x2/gemma3-270m-cce-4chip-chunk/fourchip_chunk_fsdp2_tp2_b16_l512/fourchip_chunk_fsdp2_tp2_b16_l512_results.csv,8.0,8.0
fourchip_chunk_fsdp2_tp2_b16_l512,fsdp2/tp2,2,2,16,512,4,512,8192,4.095008850998663,433.6986962963173,2.65,1.3577284812927246,data/gemma3_270m_4chip_chunk/raw/gemma3-270m-cce-4chip-chunk-fourchip-chunk-2x2/gemma3-270m-cce-4chip-chunk/fourchip_chunk_fsdp2_tp2_b16_l512/fourchip_chunk_fsdp2_tp2_b16_l512_results.csv,9.0,9.0
fourchip_chunk_fsdp2_tp2_b16_l512,fsdp2/tp2,2,2,16,512,4,128,32768,4.10526165700018,432.61554278071736,2.65,1.3311998844146729,data/gemma3_270m_4chip_chunk/raw/gemma3-270m-cce-4chip-chunk-fourchip-chunk-2x2/gemma3-270m-cce-4chip-chunk/fourchip_chunk_fsdp2_tp2_b16_l512/fourchip_chunk_fsdp2_tp2_b16_l512_results.csv,10.0,10.0
fourchip_chunk_fsdp2_tp2_b16_l512,fsdp2/tp2,2,2,16,512,4,512,4096,7.851708864332371,226.19279836874247,2.65,1.310535907745361,data/gemma3_270m_4chip_chunk/raw/gemma3-270m-cce-4chip-chunk-fourchip-chunk-2x2/gemma3-270m-cce-4chip-chunk/fourchip_chunk_fsdp2_tp2_b16_l512/fourchip_chunk_fsdp2_tp2_b16_l512_results.csv,11.0,11.0
fourchip_chunk_fsdp2_tp2_b16_l512,fsdp2/tp2,2,2,16,512,4,256,8192,7.857182203665919,226.0352317108509,2.65,1.3577284812927246,data/gemma3_270m_4chip_chunk/raw/gemma3-270m-cce-4chip-chunk-fourchip-chunk-2x2/gemma3-270m-cce-4chip-chunk/fourchip_chunk_fsdp2_tp2_b16_l512/fourchip_chunk_fsdp2_tp2_b16_l512_results.csv,12.0,12.0
fourchip_chunk_fsdp2_tp2_b16_l512,fsdp2/tp2,2,2,16,512,4,128,16384,7.862657201666782,225.87783677298188,2.65,1.3153165578842163,data/gemma3_270m_4chip_chunk/raw/gemma3-270m-cce-4chip-chunk-fourchip-chunk-2x2/gemma3-270m-cce-4chip-chunk/fourchip_chunk_fsdp2_tp2_b16_l512/fourchip_chunk_fsdp2_tp2_b16_l512_results.csv,13.0,13.0
fourchip_chunk_fsdp2_tp2_b16_l512,fsdp2/tp2,2,2,16,512,4,64,32768,7.902271367998765,224.74550889154904,2.65,1.4039713144302368,data/gemma3_270m_4chip_chunk/raw/gemma3-270m-cce-4chip-chunk-fourchip-chunk-2x2/gemma3-270m-cce-4chip-chunk/fourchip_chunk_fsdp2_tp2_b16_l512/fourchip_chunk_fsdp2_tp2_b16_l512_results.csv,14.0,14.0
fourchip_chunk_fsdp2_tp2_b16_l512,fsdp2/tp2,2,2,16,512,4,256,4096,15.373886718664531,115.52055979727383,2.65,1.310535907745361,data/gemma3_270m_4chip_chunk/raw/gemma3-270m-cce-4chip-chunk-fourchip-chunk-2x2/gemma3-270m-cce-4chip-chunk/fourchip_chunk_fsdp2_tp2_b16_l512/fourchip_chunk_fsdp2_tp2_b16_l512_results.csv,15.0,15.0
fourchip_chunk_fsdp2_tp2_b16_l512,fsdp2/tp2,2,2,16,512,4,128,8192,15.390990923999198,115.39218031963622,2.65,1.3577284812927246,data/gemma3_270m_4chip_chunk/raw/gemma3-270m-cce-4chip-chunk-fourchip-chunk-2x2/gemma3-270m-cce-4chip-chunk/fourchip_chunk_fsdp2_tp2_b16_l512/fourchip_chunk_fsdp2_tp2_b16_l512_results.csv,16.0,16.0
fourchip_chunk_fsdp2_tp2_b16_l512,fsdp2/tp2,2,2,16,512,4,64,16384,15.423016854664942,115.1525681866074,2.65,1.3166359663009644,data/gemma3_270m_4chip_chunk/raw/gemma3-270m-cce-4chip-chunk-fourchip-chunk-2x2/gemma3-270m-cce-4chip-chunk/fourchip_chunk_fsdp2_tp2_b16_l512/fourchip_chunk_fsdp2_tp2_b16_l512_results.csv,17.0,17.0
fourchip_chunk_fsdp2_tp2_b16_l512,fsdp2/tp2,2,2,16,512,4,128,4096,30.420700860999204,58.38129792324795,2.65,1.310535907745361,data/gemma3_270m_4chip_chunk/raw/gemma3-270m-cce-4chip-chunk-fourchip-chunk-2x2/gemma3-270m-cce-4chip-chunk/fourchip_chunk_fsdp2_tp2_b16_l512/fourchip_chunk_fsdp2_tp2_b16_l512_results.csv,18.0,18.0
fourchip_chunk_fsdp2_tp2_b16_l512,fsdp2/tp2,2,2,16,512,4,64,8192,30.46186697133332,58.30240154588478,2.65,1.3577287197113037,data/gemma3_270m_4chip_chunk/raw/gemma3-270m-cce-4chip-chunk-fourchip-chunk-2x2/gemma3-270m-cce-4chip-chunk/fourchip_chunk_fsdp2_tp2_b16_l512/fourchip_chunk_fsdp2_tp2_b16_l512_results.csv,19.0,19.0
fourchip_chunk_fsdp2_tp2_b16_l512,fsdp2/tp2,2,2,16,512,4,64,4096,60.5096932906672,29.350669345962853,2.65,1.310535907745361,data/gemma3_270m_4chip_chunk/raw/gemma3-270m-cce-4chip-chunk-fourchip-chunk-2x2/gemma3-270m-cce-4chip-chunk/fourchip_chunk_fsdp2_tp2_b16_l512/fourchip_chunk_fsdp2_tp2_b16_l512_results.csv,20.0,20.0
