activation_policy_installed,batch_size,case,cce_installed,chips,dataset_mode,default_ce,failure_type,final_loss,first_step_time_sec,lora_rank,loss_tokens_per_sec_excl_first,max_length,max_steps,mean_loss,mean_step_time_sec_excl_first,mesh_fsdp,mesh_tp,model,model_id,oom_exceeded_gib,oom_limit_gib,oom_used_gib,run_dir,runtime_hbm_headroom_gb,runtime_hbm_limit_gb,runtime_peak_hbm_gb,second_step_time_sec,splash_attention_installed,status,steps_recorded,suite,tiled_mlp_installed,token_chunk,tpu,valid_tokens_per_sec_excl_first,variant,vocab_chunk,wall_time_sec,xla_report,xla_train_step_gib_per_chip,source_csv,bleu,chrf,eval_batches,eval_loss,variant_label,ok
False,16,chunk_tuning_cce_r16_b16_l512_tc64_vc4096,True,1,synthetic,False,,1.7507798671722412,33.00028926499999,16,2198.7825483737824,512,3,2.7213147481282554,0.3783912150000219,1,1,Gemma3 270M,google/gemma-3-270m-it,,,,/tmp/gemma3-270m-cce-rerun/chunk_tuning/chunk_tuning_cce_r16_b16_l512_tc64_vc4096,15.490274304,16.909336064,1.41906176,0.4038845280000487,False,ok,3.0,chunk_tuning,False,64,v5litepod-1,4693.555055182497,cce,4096,57.380594412999926,/tmp/gemma3-270m-cce-rerun/chunk_tuning/chunk_tuning_cce_r16_b16_l512_tc64_vc4096/xla/module_0636.jit__train_step.cl_914450892.after_optimizations-memory-usage-report.txt,4.98,data/gemma3_270m_full_cce/raw/chunk/gemma3-270m-cce-rerun/chunk_tuning/chunk_tuning_results.csv,,,,,CCE,True
False,16,chunk_tuning_cce_r16_b16_l512_tc64_vc8192,True,1,synthetic,False,,1.7455155849456787,32.672839943999975,16,2449.64427536312,512,3,2.7166573206583657,0.3396411504999719,1,1,Gemma3 270M,google/gemma-3-270m-it,,,,/tmp/gemma3-270m-cce-rerun/chunk_tuning/chunk_tuning_cce_r16_b16_l512_tc64_vc8192,15.490348544,16.909336064,1.41898752,0.3656740440000021,False,ok,3.0,chunk_tuning,False,64,v5litepod-1,5229.048357025121,cce,8192,45.545739222000066,/tmp/gemma3-270m-cce-rerun/chunk_tuning/chunk_tuning_cce_r16_b16_l512_tc64_vc8192/xla/module_0636.jit__train_step.cl_914450892.after_optimizations-memory-usage-report.txt,4.98,data/gemma3_270m_full_cce/raw/chunk/gemma3-270m-cce-rerun/chunk_tuning/chunk_tuning_results.csv,,,,,CCE,True
False,16,chunk_tuning_cce_r16_b16_l512_tc64_vc16384,True,1,synthetic,False,,1.727181911468506,32.9589726800001,16,2546.060043155443,512,3,2.70196803410848,0.3267794105000234,1,1,Gemma3 270M,google/gemma-3-270m-it,,,,/tmp/gemma3-270m-cce-rerun/chunk_tuning/chunk_tuning_cce_r16_b16_l512_tc64_vc16384,15.490166784,16.909336064,1.41916928,0.35275336899997,False,ok,3.0,chunk_tuning,False,64,v5litepod-1,5434.858938274119,cce,16384,48.371651251,/tmp/gemma3-270m-cce-rerun/chunk_tuning/chunk_tuning_cce_r16_b16_l512_tc64_vc16384/xla/module_0636.jit__train_step.cl_914450892.after_optimizations-memory-usage-report.txt,4.98,data/gemma3_270m_full_cce/raw/chunk/gemma3-270m-cce-rerun/chunk_tuning/chunk_tuning_results.csv,,,,,CCE,True
False,16,chunk_tuning_cce_r16_b16_l512_tc64_vc32768,True,1,synthetic,False,,1.8048380613327024,32.89788875099998,16,2417.834563825248,512,3,2.738388737042745,0.3441095650000534,1,1,Gemma3 270M,google/gemma-3-270m-it,,,,/tmp/gemma3-270m-cce-rerun/chunk_tuning/chunk_tuning_cce_r16_b16_l512_tc64_vc32768,15.490210304,16.909336064,1.41912576,0.3957597170001463,False,ok,3.0,chunk_tuning,False,64,v5litepod-1,5161.146857396203,cce,32768,44.85351891999994,/tmp/gemma3-270m-cce-rerun/chunk_tuning/chunk_tuning_cce_r16_b16_l512_tc64_vc32768/xla/module_0636.jit__train_step.cl_914450892.after_optimizations-memory-usage-report.txt,4.98,data/gemma3_270m_full_cce/raw/chunk/gemma3-270m-cce-rerun/chunk_tuning/chunk_tuning_results.csv,,,,,CCE,True
False,16,chunk_tuning_cce_r16_b16_l512_tc128_vc4096,True,1,synthetic,False,,1.750779628753662,33.13407987200003,16,3129.186262145811,512,3,2.7213145891825357,0.2658838209999885,1,1,Gemma3 270M,google/gemma-3-270m-it,,,,/tmp/gemma3-270m-cce-rerun/chunk_tuning/chunk_tuning_cce_r16_b16_l512_tc128_vc4096,15.489971712,16.909336064,1.419364352,0.3142163809998237,False,ok,3.0,chunk_tuning,False,128,v5litepod-1,6679.609136503558,cce,4096,45.03439700600006,/tmp/gemma3-270m-cce-rerun/chunk_tuning/chunk_tuning_cce_r16_b16_l512_tc128_vc4096/xla/module_0636.jit__train_step.cl_914450892.after_optimizations-memory-usage-report.txt,4.98,data/gemma3_270m_full_cce/raw/chunk/gemma3-270m-cce-rerun/chunk_tuning/chunk_tuning_results.csv,,,,,CCE,True
False,16,chunk_tuning_cce_r16_b16_l512_tc128_vc8192,True,1,synthetic,False,,1.7455157041549685,33.000807098999985,16,3845.813124035654,512,3,2.7166574398676553,0.2163391650000221,1,1,Gemma3 270M,google/gemma-3-270m-it,,,,/tmp/gemma3-270m-cce-rerun/chunk_tuning/chunk_tuning_cce_r16_b16_l512_tc128_vc8192,15.489984,16.909336064,1.419352064,0.2414550900000449,False,ok,3.0,chunk_tuning,False,128,v5litepod-1,8209.33186092226,cce,8192,45.367687855999975,/tmp/gemma3-270m-cce-rerun/chunk_tuning/chunk_tuning_cce_r16_b16_l512_tc128_vc8192/xla/module_0636.jit__train_step.cl_914450892.after_optimizations-memory-usage-report.txt,4.98,data/gemma3_270m_full_cce/raw/chunk/gemma3-270m-cce-rerun/chunk_tuning/chunk_tuning_results.csv,,,,,CCE,True
False,16,chunk_tuning_cce_r16_b16_l512_tc128_vc16384,True,1,synthetic,False,,1.799049735069275,33.025680316000035,16,4040.271209031845,512,3,2.7230608065923056,0.2059267700000191,1,1,Gemma3 270M,google/gemma-3-270m-it,,,,/tmp/gemma3-270m-cce-rerun/chunk_tuning/chunk_tuning_cce_r16_b16_l512_tc128_vc16384,15.48996096,16.909336064,1.419375104,0.2310008710001057,False,ok,3.0,chunk_tuning,False,128,v5litepod-1,8624.425080817977,cce,16384,44.704275671000005,/tmp/gemma3-270m-cce-rerun/chunk_tuning/chunk_tuning_cce_r16_b16_l512_tc128_vc16384/xla/module_0636.jit__train_step.cl_914450892.after_optimizations-memory-usage-report.txt,4.98,data/gemma3_270m_full_cce/raw/chunk/gemma3-270m-cce-rerun/chunk_tuning/chunk_tuning_results.csv,,,,,CCE,True
False,16,chunk_tuning_cce_r16_b16_l512_tc128_vc32768,True,1,synthetic,False,,1.7999908924102783,32.888923176999924,16,3667.8185710999137,512,3,2.7425264517466226,0.2268378284999244,1,1,Gemma3 270M,google/gemma-3-270m-it,,,,/tmp/gemma3-270m-cce-rerun/chunk_tuning/chunk_tuning_cce_r16_b16_l512_tc128_vc32768,15.489856,16.909336064,1.419480064,0.2755000790000395,False,ok,3.0,chunk_tuning,False,128,v5litepod-1,7829.381949847892,cce,32768,44.9694726470002,/tmp/gemma3-270m-cce-rerun/chunk_tuning/chunk_tuning_cce_r16_b16_l512_tc128_vc32768/xla/module_0636.jit__train_step.cl_914450892.after_optimizations-memory-usage-report.txt,4.98,data/gemma3_270m_full_cce/raw/chunk/gemma3-270m-cce-rerun/chunk_tuning/chunk_tuning_results.csv,,,,,CCE,True
False,16,chunk_tuning_cce_r16_b16_l512_tc256_vc4096,True,1,synthetic,False,,1.750779628753662,33.07927913100002,16,4086.500638811676,512,3,2.7213145891825357,0.2035971784998764,1,1,Gemma3 270M,google/gemma-3-270m-it,,,,/tmp/gemma3-270m-cce-rerun/chunk_tuning/chunk_tuning_cce_r16_b16_l512_tc256_vc4096,15.489496576,16.909336064,1.419839488,0.252023877999818,False,ok,3.0,chunk_tuning,False,256,v5litepod-1,8723.107132848001,cce,4096,44.887545188000104,/tmp/gemma3-270m-cce-rerun/chunk_tuning/chunk_tuning_cce_r16_b16_l512_tc256_vc4096/xla/module_0636.jit__train_step.cl_914450892.after_optimizations-memory-usage-report.txt,4.98,data/gemma3_270m_full_cce/raw/chunk/gemma3-270m-cce-rerun/chunk_tuning/chunk_tuning_results.csv,,,,,CCE,True
False,16,chunk_tuning_cce_r16_b16_l512_tc256_vc8192,True,1,synthetic,False,,1.7455157041549685,32.99858556100003,16,5288.272724180475,512,3,2.7166574398676553,0.1573292535000519,1,1,Gemma3 270M,google/gemma-3-270m-it,,,,/tmp/gemma3-270m-cce-rerun/chunk_tuning/chunk_tuning_cce_r16_b16_l512_tc256_vc8192,15.489509376,16.909336064,1.419826688,0.1827655280001181,False,ok,3.0,chunk_tuning,False,256,v5litepod-1,11288.428315077554,cce,8192,45.22205306700016,/tmp/gemma3-270m-cce-rerun/chunk_tuning/chunk_tuning_cce_r16_b16_l512_tc256_vc8192/xla/module_0636.jit__train_step.cl_914450892.after_optimizations-memory-usage-report.txt,4.98,data/gemma3_270m_full_cce/raw/chunk/gemma3-270m-cce-rerun/chunk_tuning/chunk_tuning_results.csv,,,,,CCE,True
False,16,chunk_tuning_cce_r16_b16_l512_tc256_vc16384,True,1,synthetic,False,,1.799049735069275,33.15582405600003,16,5560.014556543821,512,3,2.7230608065923056,0.1496398960000533,1,1,Gemma3 270M,google/gemma-3-270m-it,,,,/tmp/gemma3-270m-cce-rerun/chunk_tuning/chunk_tuning_cce_r16_b16_l512_tc256_vc16384,15.489504256,16.909336064,1.419831808,0.175088364999965,False,ok,3.0,chunk_tuning,False,256,v5litepod-1,11868.492611083924,cce,16384,45.11437170499994,/tmp/gemma3-270m-cce-rerun/chunk_tuning/chunk_tuning_cce_r16_b16_l512_tc256_vc16384/xla/module_0636.jit__train_step.cl_914450892.after_optimizations-memory-usage-report.txt,4.98,data/gemma3_270m_full_cce/raw/chunk/gemma3-270m-cce-rerun/chunk_tuning/chunk_tuning_results.csv,,,,,CCE,True
False,16,chunk_tuning_cce_r16_b16_l512_tc256_vc32768,True,1,synthetic,False,,1.7999908924102783,33.06211492800003,16,5684.197880702925,512,3,2.7425264517466226,0.1463706959999626,1,1,Gemma3 270M,google/gemma-3-270m-it,,,,/tmp/gemma3-270m-cce-rerun/chunk_tuning/chunk_tuning_cce_r16_b16_l512_tc256_vc32768,15.4893696,16.909336064,1.419966464,0.17188397599989,False,ok,3.0,chunk_tuning,False,256,v5litepod-1,12133.57624534663,cce,32768,44.7346948039999,/tmp/gemma3-270m-cce-rerun/chunk_tuning/chunk_tuning_cce_r16_b16_l512_tc256_vc32768/xla/module_0636.jit__train_step.cl_914450892.after_optimizations-memory-usage-report.txt,4.98,data/gemma3_270m_full_cce/raw/chunk/gemma3-270m-cce-rerun/chunk_tuning/chunk_tuning_results.csv,,,,,CCE,True
False,16,chunk_tuning_cce_r16_b16_l512_tc512_vc4096,True,1,synthetic,False,,1.750779628753662,32.87958728300009,16,5299.176016663612,512,3,2.7213145891825357,0.1570055414999842,1,1,Gemma3 270M,google/gemma-3-270m-it,,,,/tmp/gemma3-270m-cce-rerun/chunk_tuning/chunk_tuning_cce_r16_b16_l512_tc512_vc4096,15.489291776,16.909336064,1.420044288,0.1820959990000119,False,ok,3.0,chunk_tuning,False,512,v5litepod-1,11311.702650955018,cce,4096,44.6263642240001,/tmp/gemma3-270m-cce-rerun/chunk_tuning/chunk_tuning_cce_r16_b16_l512_tc512_vc4096/xla/module_0636.jit__train_step.cl_914450892.after_optimizations-memory-usage-report.txt,4.98,data/gemma3_270m_full_cce/raw/chunk/gemma3-270m-cce-rerun/chunk_tuning/chunk_tuning_results.csv,,,,,CCE,True
False,16,chunk_tuning_cce_r16_b16_l512_tc512_vc8192,True,1,synthetic,False,,1.7455157041549685,32.835540533000085,16,4904.046307093913,512,3,2.7166574398676553,0.1696558204999974,1,1,Gemma3 270M,google/gemma-3-270m-it,,,,/tmp/gemma3-270m-cce-rerun/chunk_tuning/chunk_tuning_cce_r16_b16_l512_tc512_vc8192,15.489311232,16.909336064,1.420024832,0.2176634479999393,False,ok,3.0,chunk_tuning,False,512,v5litepod-1,10468.25269398893,cce,8192,44.34151134900003,/tmp/gemma3-270m-cce-rerun/chunk_tuning/chunk_tuning_cce_r16_b16_l512_tc512_vc8192/xla/module_0636.jit__train_step.cl_914450892.after_optimizations-memory-usage-report.txt,4.98,data/gemma3_270m_full_cce/raw/chunk/gemma3-270m-cce-rerun/chunk_tuning/chunk_tuning_results.csv,,,,,CCE,True
False,16,chunk_tuning_cce_r16_b16_l512_tc512_vc16384,True,1,synthetic,False,,1.799049735069275,33.218637055000045,16,5897.283776307008,512,3,2.7230608065923056,0.1410818999999037,1,1,Gemma3 270M,google/gemma-3-270m-it,,,,/tmp/gemma3-270m-cce-rerun/chunk_tuning/chunk_tuning_cce_r16_b16_l512_tc512_vc16384,15.489090048,16.909336064,1.420246016,0.1660337490000074,False,ok,3.0,chunk_tuning,False,512,v5litepod-1,12588.432676347653,cce,16384,44.53899807399989,/tmp/gemma3-270m-cce-rerun/chunk_tuning/chunk_tuning_cce_r16_b16_l512_tc512_vc16384/xla/module_0636.jit__train_step.cl_914450892.after_optimizations-memory-usage-report.txt,4.98,data/gemma3_270m_full_cce/raw/chunk/gemma3-270m-cce-rerun/chunk_tuning/chunk_tuning_results.csv,,,,,CCE,True
False,16,chunk_tuning_cce_r16_b16_l512_tc512_vc32768,True,1,synthetic,False,,1.7999908924102783,32.94914520399993,16,5096.2936570410375,512,3,2.7425264517466226,0.1632558984999832,1,1,Gemma3 270M,google/gemma-3-270m-it,,,,/tmp/gemma3-270m-cce-rerun/chunk_tuning/chunk_tuning_cce_r16_b16_l512_tc512_vc32768,15.489261568,16.909336064,1.420074496,0.2104669660000127,False,ok,3.0,chunk_tuning,False,512,v5litepod-1,10878.6268448376,cce,32768,44.17014001899997,/tmp/gemma3-270m-cce-rerun/chunk_tuning/chunk_tuning_cce_r16_b16_l512_tc512_vc32768/xla/module_0636.jit__train_step.cl_914450892.after_optimizations-memory-usage-report.txt,4.97,data/gemma3_270m_full_cce/raw/chunk/gemma3-270m-cce-rerun/chunk_tuning/chunk_tuning_results.csv,,,,,CCE,True
,16,chunk_tuning_cce_r16_b16_l2048_tc64_vc4096,,1,synthetic,,compile_oom,,,16,,2048,3,,,1,1,Gemma3 270M,google/gemma-3-270m-it,,,,/tmp/gemma3-270m-cce-rerun/chunk_tuning/chunk_tuning_cce_r16_b16_l2048_tc64_vc4096,,,,,,failed,,chunk_tuning,,64,v5litepod-1,,cce,4096,,/tmp/gemma3-270m-cce-rerun/chunk_tuning/chunk_tuning_cce_r16_b16_l2048_tc64_vc4096/xla/module_0636.jit__train_step.cl_914450892.after_optimizations-memory-usage-report.txt,16.42,data/gemma3_270m_full_cce/raw/chunk/gemma3-270m-cce-rerun/chunk_tuning/chunk_tuning_results.csv,,,,,CCE,False
,16,chunk_tuning_cce_r16_b16_l2048_tc64_vc8192,,1,synthetic,,compile_oom,,,16,,2048,3,,,1,1,Gemma3 270M,google/gemma-3-270m-it,,,,/tmp/gemma3-270m-cce-rerun/chunk_tuning/chunk_tuning_cce_r16_b16_l2048_tc64_vc8192,,,,,,failed,,chunk_tuning,,64,v5litepod-1,,cce,8192,,/tmp/gemma3-270m-cce-rerun/chunk_tuning/chunk_tuning_cce_r16_b16_l2048_tc64_vc8192/xla/module_0636.jit__train_step.cl_914450892.after_optimizations-memory-usage-report.txt,16.42,data/gemma3_270m_full_cce/raw/chunk/gemma3-270m-cce-rerun/chunk_tuning/chunk_tuning_results.csv,,,,,CCE,False
,16,chunk_tuning_cce_r16_b16_l2048_tc64_vc16384,,1,synthetic,,compile_oom,,,16,,2048,3,,,1,1,Gemma3 270M,google/gemma-3-270m-it,,,,/tmp/gemma3-270m-cce-rerun/chunk_tuning/chunk_tuning_cce_r16_b16_l2048_tc64_vc16384,,,,,,failed,,chunk_tuning,,64,v5litepod-1,,cce,16384,,/tmp/gemma3-270m-cce-rerun/chunk_tuning/chunk_tuning_cce_r16_b16_l2048_tc64_vc16384/xla/module_0636.jit__train_step.cl_914450892.after_optimizations-memory-usage-report.txt,16.42,data/gemma3_270m_full_cce/raw/chunk/gemma3-270m-cce-rerun/chunk_tuning/chunk_tuning_results.csv,,,,,CCE,False
,16,chunk_tuning_cce_r16_b16_l2048_tc64_vc32768,,1,synthetic,,compile_oom,,,16,,2048,3,,,1,1,Gemma3 270M,google/gemma-3-270m-it,,,,/tmp/gemma3-270m-cce-rerun/chunk_tuning/chunk_tuning_cce_r16_b16_l2048_tc64_vc32768,,,,,,failed,,chunk_tuning,,64,v5litepod-1,,cce,32768,,/tmp/gemma3-270m-cce-rerun/chunk_tuning/chunk_tuning_cce_r16_b16_l2048_tc64_vc32768/xla/module_0636.jit__train_step.cl_914450892.after_optimizations-memory-usage-report.txt,16.42,data/gemma3_270m_full_cce/raw/chunk/gemma3-270m-cce-rerun/chunk_tuning/chunk_tuning_results.csv,,,,,CCE,False
,16,chunk_tuning_cce_r16_b16_l2048_tc128_vc4096,,1,synthetic,,compile_oom,,,16,,2048,3,,,1,1,Gemma3 270M,google/gemma-3-270m-it,,,,/tmp/gemma3-270m-cce-rerun/chunk_tuning/chunk_tuning_cce_r16_b16_l2048_tc128_vc4096,,,,,,failed,,chunk_tuning,,128,v5litepod-1,,cce,4096,,/tmp/gemma3-270m-cce-rerun/chunk_tuning/chunk_tuning_cce_r16_b16_l2048_tc128_vc4096/xla/module_0636.jit__train_step.cl_914450892.after_optimizations-memory-usage-report.txt,16.42,data/gemma3_270m_full_cce/raw/chunk/gemma3-270m-cce-rerun/chunk_tuning/chunk_tuning_results.csv,,,,,CCE,False
