activation_policy_installed,batch_size,case,cce_installed,chips,dataset_mode,default_ce,final_loss,first_step_time_sec,lora_rank,loss_tokens_per_sec_excl_first,max_length,max_steps,mean_loss,mean_step_time_sec_excl_first,mesh_fsdp,mesh_tp,model,model_id,run_dir,runtime_hbm_headroom_gb,runtime_hbm_limit_gb,runtime_peak_hbm_gb,second_step_time_sec,splash_attention_installed,status,steps_recorded,suite,tiled_mlp_installed,token_chunk,tpu,valid_tokens_per_sec_excl_first,variant,vocab_chunk,wall_time_sec,xla_report,xla_train_step_gib_per_chip,source_csv,failure_type,oom_exceeded_gib,oom_limit_gib,oom_used_gib,mesh
False,16,outlier_hlo_fsdp1_tp4_default_r16_b16_l512_tc128_vc8192,False,4,synthetic,True,2.3501718044281006,37.90466723099962,16,22.216555404372805,512,2,3.2067075967788696,37.449549889999616,1,4,Gemma3 270M,google/gemma-3-270m-it,/tmp/gemma3-270m-cce-outlier-hlo/outlier_hlo_fsdp1_tp4/outlier_hlo_fsdp1_tp4_default_r16_b16_l512_tc128_vc8192,64.08333312,67.637338112,3.554004992,37.449549889999616,False,ok,2.0,outlier_hlo_fsdp1_tp4,False,128,v5litepod-4,47.42380095933426,default,8192,89.28226224599712,/tmp/gemma3-270m-cce-outlier-hlo/outlier_hlo_fsdp1_tp4/outlier_hlo_fsdp1_tp4_default_r16_b16_l512_tc128_vc8192/xla/module_0920.jit__train_step.cl_914450892.after_optimizations-memory-usage-report.txt,3.47,data/gemma3_270m_outlier_hlo/raw/gemma3-270m-cce-outlier-hlo-outlier-hlo/gemma3-270m-cce-outlier-hlo/outlier_hlo_fsdp1_tp4/outlier_hlo_fsdp1_tp4_results.csv,,,,,fsdp1/tp4
False,16,outlier_hlo_fsdp1_tp4_default_r16_b16_l1024_tc128_vc8192,False,4,synthetic,True,2.3582253456115723,42.11122397699728,16,19.60830410291901,1024,2,3.215468406677246,42.43100247900293,1,4,Gemma3 270M,google/gemma-3-270m-it,/tmp/gemma3-270m-cce-outlier-hlo/outlier_hlo_fsdp1_tp4/outlier_hlo_fsdp1_tp4_default_r16_b16_l1024_tc128_vc8192,63.629748224,67.637338112,4.007589888,42.43100247900293,False,ok,2.0,outlier_hlo_fsdp1_tp4,False,128,v5litepod-4,41.8561876043079,default,8192,98.3882226780006,/tmp/gemma3-270m-cce-outlier-hlo/outlier_hlo_fsdp1_tp4/outlier_hlo_fsdp1_tp4_default_r16_b16_l1024_tc128_vc8192/xla/module_0934.jit__train_step.cl_914450892.after_optimizations-memory-usage-report.txt,6.86,data/gemma3_270m_outlier_hlo/raw/gemma3-270m-cce-outlier-hlo-outlier-hlo/gemma3-270m-cce-outlier-hlo/outlier_hlo_fsdp1_tp4/outlier_hlo_fsdp1_tp4_results.csv,,,,,fsdp1/tp4
False,16,outlier_hlo_fsdp1_tp4_cce_r16_b16_l512_tc128_vc8192,True,4,synthetic,False,2.356271743774414,38.70029253399844,16,20.81945541257868,512,2,3.210256576538086,39.96262070800003,1,4,Gemma3 270M,google/gemma-3-270m-it,/tmp/gemma3-270m-cce-outlier-hlo/outlier_hlo_fsdp1_tp4/outlier_hlo_fsdp1_tp4_cce_r16_b16_l512_tc128_vc8192,64.066400256,67.637338112,3.570937856,39.96262070800003,False,ok,2.0,outlier_hlo_fsdp1_tp4,False,128,v5litepod-4,44.44152982300449,cce,8192,94.51306530500004,/tmp/gemma3-270m-cce-outlier-hlo/outlier_hlo_fsdp1_tp4/outlier_hlo_fsdp1_tp4_cce_r16_b16_l512_tc128_vc8192/xla/module_0949.jit__train_step.cl_914450892.after_optimizations-memory-usage-report.txt,1.64,data/gemma3_270m_outlier_hlo/raw/gemma3-270m-cce-outlier-hlo-outlier-hlo/gemma3-270m-cce-outlier-hlo/outlier_hlo_fsdp1_tp4/outlier_hlo_fsdp1_tp4_results.csv,,,,,fsdp1/tp4
False,16,outlier_hlo_fsdp1_tp4_cce_r16_b16_l1024_tc128_vc8192,True,4,synthetic,False,2.3486931324005127,43.71409575099824,16,17.845040931940048,1024,2,3.2119890451431274,46.62359717599975,1,4,Gemma3 270M,google/gemma-3-270m-it,/tmp/gemma3-270m-cce-outlier-hlo/outlier_hlo_fsdp1_tp4/outlier_hlo_fsdp1_tp4_cce_r16_b16_l1024_tc128_vc8192,63.613949952,67.637338112,4.02338816,46.62359717599975,False,ok,2.0,outlier_hlo_fsdp1_tp4,False,128,v5litepod-4,38.09229891241049,cce,8192,107.93587179300084,/tmp/gemma3-270m-cce-outlier-hlo/outlier_hlo_fsdp1_tp4/outlier_hlo_fsdp1_tp4_cce_r16_b16_l1024_tc128_vc8192/xla/module_0972.jit__train_step.cl_914450892.after_optimizations-memory-usage-report.txt,3.06,data/gemma3_270m_outlier_hlo/raw/gemma3-270m-cce-outlier-hlo-outlier-hlo/gemma3-270m-cce-outlier-hlo/outlier_hlo_fsdp1_tp4/outlier_hlo_fsdp1_tp4_results.csv,,,,,fsdp1/tp4
False,16,outlier_hlo_fsdp2_tp2_default_r16_b16_l512_tc128_vc8192,False,4,synthetic,True,2.3113694190979004,30.50430815100117,16,3464.8858597250514,512,2,3.189697504043579,0.2401233499986119,2,2,Gemma3 270M,google/gemma-3-270m-it,/tmp/gemma3-270m-cce-outlier-hlo/outlier_hlo_fsdp2_tp2/outlier_hlo_fsdp2_tp2_default_r16_b16_l512_tc128_vc8192,65.351960576,67.637338112,2.285377536,0.2401233499986119,False,ok,2.0,outlier_hlo_fsdp2_tp2,False,128,v5litepod-4,7396.198662105398,default,8192,44.98683976200118,/tmp/gemma3-270m-cce-outlier-hlo/outlier_hlo_fsdp2_tp2/outlier_hlo_fsdp2_tp2_default_r16_b16_l512_tc128_vc8192/xla/module_0677.jit__train_step.cl_914450892.after_optimizations-memory-usage-report.txt,6.23,data/gemma3_270m_outlier_hlo/raw/gemma3-270m-cce-outlier-hlo-outlier-hlo/gemma3-270m-cce-outlier-hlo/outlier_hlo_fsdp2_tp2/outlier_hlo_fsdp2_tp2_results.csv,,,,,fsdp2/tp2
False,16,outlier_hlo_fsdp2_tp2_default_r16_b16_l1024_tc128_vc8192,False,4,synthetic,True,2.311606168746948,32.25141885600169,16,2065.3589492346523,1024,2,3.189815878868103,0.4028355459995509,2,2,Gemma3 270M,google/gemma-3-270m-it,/tmp/gemma3-270m-cce-outlier-hlo/outlier_hlo_fsdp2_tp2/outlier_hlo_fsdp2_tp2_default_r16_b16_l1024_tc128_vc8192,65.142503424,67.637338112,2.494834688,0.4028355459995509,False,ok,2.0,outlier_hlo_fsdp2_tp2,False,128,v5litepod-4,4408.746987789354,default,8192,47.29676182900221,/tmp/gemma3-270m-cce-outlier-hlo/outlier_hlo_fsdp2_tp2/outlier_hlo_fsdp2_tp2_default_r16_b16_l1024_tc128_vc8192/xla/module_0677.jit__train_step.cl_914450892.after_optimizations-memory-usage-report.txt,12.66,data/gemma3_270m_outlier_hlo/raw/gemma3-270m-cce-outlier-hlo-outlier-hlo/gemma3-270m-cce-outlier-hlo/outlier_hlo_fsdp2_tp2/outlier_hlo_fsdp2_tp2_results.csv,,,,,fsdp2/tp2
False,16,outlier_hlo_fsdp2_tp2_cce_r16_b16_l512_tc128_vc8192,True,4,synthetic,False,2.2792809009552,33.22343239499969,16,53.83440430175396,512,2,3.1738401651382446,15.454800899002294,2,2,Gemma3 270M,google/gemma-3-270m-it,/tmp/gemma3-270m-cce-outlier-hlo/outlier_hlo_fsdp2_tp2/outlier_hlo_fsdp2_tp2_cce_r16_b16_l512_tc128_vc8192,65.349801984,67.637338112,2.287536128,15.454800899002294,False,ok,2.0,outlier_hlo_fsdp2_tp2,False,128,v5litepod-4,114.91574764412864,cce,8192,78.01945839199834,/tmp/gemma3-270m-cce-outlier-hlo/outlier_hlo_fsdp2_tp2/outlier_hlo_fsdp2_tp2_cce_r16_b16_l512_tc128_vc8192/xla/module_0677.jit__train_step.cl_914450892.after_optimizations-memory-usage-report.txt,2.65,data/gemma3_270m_outlier_hlo/raw/gemma3-270m-cce-outlier-hlo-outlier-hlo/gemma3-270m-cce-outlier-hlo/outlier_hlo_fsdp2_tp2/outlier_hlo_fsdp2_tp2_results.csv,,,,,fsdp2/tp2
False,16,outlier_hlo_fsdp2_tp2_cce_r16_b16_l1024_tc128_vc8192,True,4,synthetic,False,2.2792809009552,33.12341979300254,16,26.983619194790407,1024,2,3.1738401651382446,30.833521404001655,2,2,Gemma3 270M,google/gemma-3-270m-it,/tmp/gemma3-270m-cce-outlier-hlo/outlier_hlo_fsdp2_tp2/outlier_hlo_fsdp2_tp2_cce_r16_b16_l1024_tc128_vc8192,65.144270848,67.637338112,2.493067264,30.833521404001655,False,ok,2.0,outlier_hlo_fsdp2_tp2,False,128,v5litepod-4,57.5996486658026,cce,8192,108.55778996699884,/tmp/gemma3-270m-cce-outlier-hlo/outlier_hlo_fsdp2_tp2/outlier_hlo_fsdp2_tp2_cce_r16_b16_l1024_tc128_vc8192/xla/module_0677.jit__train_step.cl_914450892.after_optimizations-memory-usage-report.txt,5.13,data/gemma3_270m_outlier_hlo/raw/gemma3-270m-cce-outlier-hlo-outlier-hlo/gemma3-270m-cce-outlier-hlo/outlier_hlo_fsdp2_tp2/outlier_hlo_fsdp2_tp2_results.csv,,,,,fsdp2/tp2
False,16,outlier_hlo_fsdp4_tp1_default_r16_b16_l512_tc128_vc8192,False,4,synthetic,True,2.360680341720581,29.44994547000169,16,3021.6773718346158,512,2,3.22068703174591,0.2753437569990637,4,1,Gemma3 270M,google/gemma-3-270m-it,/tmp/gemma3-270m-cce-outlier-hlo/outlier_hlo_fsdp4_tp1/outlier_hlo_fsdp4_tp1_default_r16_b16_l512_tc128_vc8192,65.464020992,67.637338112,2.17331712,0.2753437569990637,False,ok,2.0,outlier_hlo_fsdp4_tp1,False,128,v5litepod-4,6450.119005262352,default,8192,44.04735096999866,/tmp/gemma3-270m-cce-outlier-hlo/outlier_hlo_fsdp4_tp1/outlier_hlo_fsdp4_tp1_default_r16_b16_l512_tc128_vc8192/xla/module_0657.jit__train_step.cl_914450892.after_optimizations-memory-usage-report.txt,11.29,data/gemma3_270m_outlier_hlo/raw/gemma3-270m-cce-outlier-hlo-outlier-hlo/gemma3-270m-cce-outlier-hlo/outlier_hlo_fsdp4_tp1/outlier_hlo_fsdp4_tp1_results.csv,,,,,fsdp4/tp1
,16,outlier_hlo_fsdp4_tp1_default_r16_b16_l1024_tc128_vc8192,,4,synthetic,,,,16,,1024,2,,,4,1,Gemma3 270M,google/gemma-3-270m-it,/tmp/gemma3-270m-cce-outlier-hlo/outlier_hlo_fsdp4_tp1/outlier_hlo_fsdp4_tp1_default_r16_b16_l1024_tc128_vc8192,,,,,,failed,,outlier_hlo_fsdp4_tp1,,128,v5litepod-4,,default,8192,,/tmp/gemma3-270m-cce-outlier-hlo/outlier_hlo_fsdp4_tp1/outlier_hlo_fsdp4_tp1_default_r16_b16_l1024_tc128_vc8192/xla/module_0657.jit__train_step.cl_914450892.after_optimizations-memory-usage-report.txt,21.06,data/gemma3_270m_outlier_hlo/raw/gemma3-270m-cce-outlier-hlo-outlier-hlo/gemma3-270m-cce-outlier-hlo/outlier_hlo_fsdp4_tp1/outlier_hlo_fsdp4_tp1_results.csv,compile_oom,5.04,15.75,20.79,fsdp4/tp1
False,16,outlier_hlo_fsdp4_tp1_cce_r16_b16_l512_tc128_vc8192,True,4,synthetic,False,2.367995023727417,29.48132031699788,16,1836.2201855977112,512,2,3.222784399986267,0.4531047019991092,4,1,Gemma3 270M,google/gemma-3-270m-it,/tmp/gemma3-270m-cce-outlier-hlo/outlier_hlo_fsdp4_tp1/outlier_hlo_fsdp4_tp1_cce_r16_b16_l512_tc128_vc8192,65.461315584,67.637338112,2.176022528,0.4531047019991092,False,ok,2.0,outlier_hlo_fsdp4_tp1,False,128,v5litepod-4,3919.623857718191,cce,8192,44.59864728500179,/tmp/gemma3-270m-cce-outlier-hlo/outlier_hlo_fsdp4_tp1/outlier_hlo_fsdp4_tp1_cce_r16_b16_l512_tc128_vc8192/xla/module_0657.jit__train_step.cl_914450892.after_optimizations-memory-usage-report.txt,3.85,data/gemma3_270m_outlier_hlo/raw/gemma3-270m-cce-outlier-hlo-outlier-hlo/gemma3-270m-cce-outlier-hlo/outlier_hlo_fsdp4_tp1/outlier_hlo_fsdp4_tp1_results.csv,,,,,fsdp4/tp1
False,16,outlier_hlo_fsdp4_tp1_cce_r16_b16_l1024_tc128_vc8192,True,4,synthetic,False,2.347944736480713,29.016409045998444,16,956.163317093606,1024,2,3.190082311630249,0.8701442370002042,4,1,Gemma3 270M,google/gemma-3-270m-it,/tmp/gemma3-270m-cce-outlier-hlo/outlier_hlo_fsdp4_tp1/outlier_hlo_fsdp4_tp1_cce_r16_b16_l1024_tc128_vc8192,65.291022336,67.637338112,2.346315776,0.8701442370002042,False,ok,2.0,outlier_hlo_fsdp4_tp1,False,128,v5litepod-4,2041.0409268728893,cce,8192,43.538263603000814,/tmp/gemma3-270m-cce-outlier-hlo/outlier_hlo_fsdp4_tp1/outlier_hlo_fsdp4_tp1_cce_r16_b16_l1024_tc128_vc8192/xla/module_0657.jit__train_step.cl_914450892.after_optimizations-memory-usage-report.txt,7.49,data/gemma3_270m_outlier_hlo/raw/gemma3-270m-cce-outlier-hlo-outlier-hlo/gemma3-270m-cce-outlier-hlo/outlier_hlo_fsdp4_tp1/outlier_hlo_fsdp4_tp1_results.csv,,,,,fsdp4/tp1
