model,suite,mesh,batch_size,max_length,eval_loss_cce,eval_loss_default,final_loss_cce,final_loss_default,mean_step_time_sec_excl_first_cce,mean_step_time_sec_excl_first_default,valid_tokens_per_sec_excl_first_cce,valid_tokens_per_sec_excl_first_default,xla_train_step_gib_per_chip_cce,xla_train_step_gib_per_chip_default,xla_reduction_pct,step_time_multiplier_cce_vs_default,loss_delta_cce_minus_default
Gemma3 270M,fourchip_frontier_fsdp1_tp4,fsdp1/tp4,1,256,,,2.39208722114563,2.4185163974761963,28.73431119400084,27.277530059000128,3.793374383122748,3.9959629689432177,0.4987721443176269,0.3182830810546875,-56.707086868977406,1.0534059033882377,-0.026429176330566406
Gemma3 270M,fourchip_frontier_fsdp1_tp4,fsdp1/tp4,1,512,,,2.4074394702911377,2.3912875652313232,29.281289066999307,28.10204294200048,3.722513710055393,3.8787215657226057,0.5196795463562012,0.3210630416870117,-61.862151316317096,1.0419630034525482,0.016151905059814453
Gemma3 270M,fourchip_frontier_fsdp1_tp4,fsdp1/tp4,1,1024,,,2.6741883754730225,2.624394416809082,30.690111770998556,29.98801113400077,3.5516325523129075,3.634785898702514,0.6212325096130371,0.7073144912719727,12.170255624783433,1.0234127109617395,0.04979395866394043
Gemma3 270M,fourchip_frontier_fsdp1_tp4,fsdp1/tp4,1,2048,,,2.686645269393921,2.537623405456543,34.62955835399953,32.941833921999205,3.14760006136235,3.308862532003953,0.858975887298584,1.18,27.205433279781012,1.0512334691503993,0.14902186393737793
Gemma3 270M,fourchip_frontier_fsdp1_tp4,fsdp1/tp4,1,4096,,,2.7126271724700928,2.625347137451172,37.71361764299945,36.27188835500056,2.890202712235245,3.00508203303876,1.59,2.38,33.193277310924366,1.0397478420171673,0.0872800350189209
Gemma3 270M,fourchip_frontier_fsdp1_tp4,fsdp1/tp4,4,256,,,2.3665966987609863,2.407329797744751,30.218672162000075,28.973922338000193,14.428165395972268,15.048014380440735,0.5857682228088379,0.6775751113891602,13.54933010926278,1.042961039567893,-0.04073309898376465
Gemma3 270M,fourchip_frontier_fsdp1_tp4,fsdp1/tp4,4,512,,,2.3794872760772705,2.401068687438965,32.73909140000069,31.2381074040004,13.31741295667084,13.957311637393408,0.7402195930480957,1.08,31.461148791842998,1.0480497738415506,-0.021581411361694336
Gemma3 270M,fourchip_frontier_fsdp1_tp4,fsdp1/tp4,4,1024,,,2.4235904216766357,2.386988401412964,36.48419125500004,34.535336449998795,11.950381384437229,12.624750322941049,1.15,1.98,41.919191919191924,1.0564307461669833,0.036602020263671875
Gemma3 270M,fourchip_frontier_fsdp1_tp4,fsdp1/tp4,4,2048,,,2.359126567840576,2.3664345741271973,40.24972820899893,37.773617638998985,10.83237128300708,11.542447540154487,2.07,3.87,46.51162790697675,1.0655513219216661,-0.007308006286621094
Gemma3 270M,fourchip_frontier_fsdp1_tp4,fsdp1/tp4,4,4096,,,2.426435708999634,2.4419407844543457,46.28281890799917,42.465171186999214,9.420342370819704,10.267237545800407,4.78,8.62,44.547563805104396,1.0899006789396561,-0.015505075454711914
Gemma3 270M,fourchip_frontier_fsdp1_tp4,fsdp1/tp4,8,256,,,2.4163658618927,2.4146406650543213,32.44000261800102,31.039786396000636,27.250306062227835,28.47957742756568,0.7223362922668457,1.06,31.855066767278707,1.0451103691287256,0.0017251968383789062
Gemma3 270M,fourchip_frontier_fsdp1_tp4,fsdp1/tp4,8,512,,,2.446861743927002,2.436563014984131,36.06051470099919,34.21288724099941,24.51434782142767,25.838216861763375,1.08,1.91,43.45549738219895,1.0540038450126963,0.010298728942871094
Gemma3 270M,fourchip_frontier_fsdp1_tp4,fsdp1/tp4,8,1024,,,2.42144775390625,2.392610788345337,40.179325569002685,37.649045041000136,22.00136481837772,23.480011220399252,1.78,3.6,50.55555555555556,1.0672070307559476,0.028836965560913086
Gemma3 270M,fourchip_frontier_fsdp1_tp4,fsdp1/tp4,8,2048,,,2.358729362487793,2.3834943771362305,45.554164230001334,42.30187987299905,19.405470716940737,20.89741644234232,3.64,7.4,50.810810810810814,1.0768827382321178,-0.0247650146484375
Gemma3 270M,fourchip_frontier_fsdp1_tp4,fsdp1/tp4,8,4096,,,2.308539390563965,2.3072471618652344,55.36606008799936,43.85346748699885,15.96646029345346,20.15804110044611,9.1,14.45,37.0242214532872,1.2625241117914705,0.0012922286987304688
Gemma3 270M,fourchip_frontier_fsdp1_tp4,fsdp1/tp4,16,256,,,2.35308837890625,2.343257188796997,35.34837486499964,33.68914668800062,50.24276241221247,52.717274689316326,1.04,1.88,44.680851063829785,1.0492511191323823,0.00983119010925293
Gemma3 270M,fourchip_frontier_fsdp1_tp4,fsdp1/tp4,16,512,,,2.356271743774414,2.3501718044281006,39.96964599700004,37.45059447999665,44.43371853063945,47.422478191864435,1.64,3.47,52.73775216138329,1.0672633252417096,0.0060999393463134766
Gemma3 270M,fourchip_frontier_fsdp1_tp4,fsdp1/tp4,16,1024,,,2.3486931324005127,2.3582253456115723,46.40664790500159,42.04325289500048,38.270378925787206,42.242211953376014,3.06,6.86,55.39358600583091,1.1037834779553888,-0.00953221321105957
Gemma3 270M,fourchip_frontier_fsdp1_tp4,fsdp1/tp4,16,2048,,,2.3401942253112793,2.3572306632995605,54.91674035899996,39.890478923000046,32.33986555629467,44.5219021668851,6.82,14.56,53.15934065934066,1.3766879175606006,-0.01703643798828125
Gemma3 270M,fourchip_frontier_fsdp1_tp4,fsdp1/tp4,32,256,,,2.3852555751800537,2.3911890983581543,39.42150049299744,36.92622616399967,90.1031151929631,96.19179561498044,1.56,3.39,53.98230088495575,1.0675745828429788,-0.005933523178100586
Gemma3 270M,fourchip_frontier_fsdp1_tp4,fsdp1/tp4,32,512,,,2.3893115520477295,2.3893871307373047,46.23313899999994,42.0646034320016,76.82800858492443,84.44154253687164,2.77,6.59,57.96661608497724,1.099098415957656,-7.557868957519531e-05
Gemma3 270M,fourchip_frontier_fsdp1_tp4,fsdp1/tp4,32,1024,,,2.3499786853790283,2.347627639770508,53.19177972699981,45.44353385900104,66.7772354719131,78.16293536987887,5.69,13.48,57.7893175074184,1.1705027142484006,0.002351045608520508
Gemma3 270M,fourchip_frontier_fsdp1_tp4,fsdp1/tp4,32,2048,,,2.377796173095703,,55.57653470199875,,63.9118653051295,,13.17,,,,
Gemma3 270M,fourchip_frontier_fsdp1_tp4,fsdp1/tp4,64,256,,,2.344691276550293,2.3529069423675537,46.0530226339979,41.361923780001234,155.47296551853788,173.10606823036375,2.63,6.45,59.22480620155039,1.1134158768568894,-0.008215665817260742
Gemma3 270M,fourchip_frontier_fsdp1_tp4,fsdp1/tp4,64,512,,,2.335801362991333,2.3409149646759033,54.98364968700116,45.70135098800165,130.2205299349693,156.66932913820804,5.12,12.97,60.524286815728615,1.2031077527978653,-0.0051136016845703125
Gemma3 270M,fourchip_frontier_fsdp1_tp4,fsdp1/tp4,64,1024,,,2.345449447631836,,56.030847379999614,,127.78675202680915,,10.92,,,,
Gemma3 270M,fourchip_frontier_fsdp1_tp4,fsdp1/tp4,128,256,,,2.280816078186035,2.2844934463500977,54.37930507300189,47.22941254499892,265.9835387852548,306.24983925470355,4.84,12.7,61.88976377952755,1.151386437872602,-0.0036773681640625
Gemma3 270M,fourchip_frontier_fsdp1_tp4,fsdp1/tp4,128,512,,,2.2917211055755615,,54.97751453100136,,263.0893761456581,,9.7,,,,
Gemma3 270M,fourchip_frontier_fsdp2_tp2,fsdp2/tp2,1,256,,,2.3504552841186523,2.36549711227417,0.574421440000151,0.1120515729999169,189.75614837769868,972.7663528657538,0.7277522087097168,0.3118524551391601,-133.36427105727512,5.126402286209557,-0.015041828155517578
Gemma3 270M,fourchip_frontier_fsdp2_tp2,fsdp2/tp2,1,512,,,2.3905534744262695,2.3550636768341064,1.057749167000111,0.1134502810000412,103.04900575732486,960.7732923989878,0.7232537269592285,0.6596794128417969,-9.637152968525008,9.323460089091597,0.035489797592163086
Gemma3 270M,fourchip_frontier_fsdp2_tp2,fsdp2/tp2,1,1024,,,2.3905534744262695,2.3550636768341064,2.0166587539997636,0.1166538919997037,54.04979884862205,934.3880271073748,0.9712300300598145,1.07,9.230838312166878,17.28753939907025,0.035489797592163086
Gemma3 270M,fourchip_frontier_fsdp2_tp2,fsdp2/tp2,1,2048,,,2.3905534744262695,2.3550636768341064,3.942106835000231,0.1341005599997515,27.65018924201571,812.8228547308224,1.44,2.01,28.358208955223873,29.396647075952075,0.035489797592163086
Gemma3 270M,fourchip_frontier_fsdp2_tp2,fsdp2/tp2,1,4096,,,2.3905534744262695,2.370387077331543,7.79066235099981,0.1831393170004958,13.991108212514376,595.1753112615622,2.75,4.26,35.44600938967136,42.53954027238574,0.020166397094726562
Gemma3 270M,fourchip_frontier_fsdp2_tp2,fsdp2/tp2,4,256,,,2.448523759841919,2.4589152336120605,2.019276752999758,0.1164299719994232,215.9188924214056,3744.7402289348624,0.9092535972595216,1.02,10.857490464752784,17.34327268419992,-0.010391473770141602
Gemma3 270M,fourchip_frontier_fsdp2_tp2,fsdp2/tp2,4,512,,,2.4056570529937744,2.450372219085694,3.9391516730001968,0.1320954299999357,110.683729948364,3300.6440873860065,1.21,1.81,33.149171270718234,29.820499263313756,-0.04471516609191939
Gemma3 270M,fourchip_frontier_fsdp2_tp2,fsdp2/tp2,4,1024,,,2.4056570529937744,2.4475836753845215,7.780763341000238,0.1723920270005692,56.03563312387689,2529.119284609145,1.85,3.44,46.22093023255813,45.13412526308162,-0.04192662239074707
Gemma3 270M,fourchip_frontier_fsdp2_tp2,fsdp2/tp2,4,2048,,,2.4056570529937744,2.450108528137207,15.470119808000163,0.2532461439996041,28.18336285763789,1721.6451674805426,3.52,7.05,50.070921985815595,61.08728671511124,-0.04445147514343262
Gemma3 270M,fourchip_frontier_fsdp2_tp2,fsdp2/tp2,4,4096,,,2.4056570529937744,2.4551467895507812,30.88554504900003,0.4577738810003211,14.116636093301397,952.4352919551872,8.6,14.38,40.19471488178026,67.46899797233814,-0.049489736557006836
Gemma3 270M,fourchip_frontier_fsdp2_tp2,fsdp2/tp2,8,256,,,2.376312017440796,2.3846957683563232,3.93903795299957,0.1326734609992854,224.42027991297613,6662.975348210453,1.17,1.77,33.89830508474577,29.68972033540895,-0.008383750915527344
Gemma3 270M,fourchip_frontier_fsdp2_tp2,fsdp2/tp2,8,512,,,2.3582000732421875,2.3651490211486816,7.777877413998795,0.169920018999619,113.6556868855965,5202.447629210669,1.71,3.3,48.18181818181818,45.77375555740866,-0.006948947906494141
Gemma3 270M,fourchip_frontier_fsdp2_tp2,fsdp2/tp2,8,1024,,,2.3582000732421875,2.3660480976104736,15.461421415000586,0.2460412130003533,57.17456217462309,3592.8940083657067,2.94,6.51,54.83870967741935,62.84077869091949,-0.007848024368286133
Gemma3 270M,fourchip_frontier_fsdp2_tp2,fsdp2/tp2,8,2048,,,2.3582000732421875,2.3660480976104736,30.851406583000426,0.4209780999999566,28.653474765299578,2099.871703540139,6.29,13.85,54.584837545126355,73.28506300684906,-0.007848024368286133
Gemma3 270M,fourchip_frontier_fsdp2_tp2,fsdp2/tp2,8,4096,,,2.3582000732421875,,61.19576846000018,,14.445443242988526,,14.82,,,,
Gemma3 270M,fourchip_frontier_fsdp2_tp2,fsdp2/tp2,16,256,,,2.2792809009552,2.2963547706604004,7.778178212000057,0.1699314480010798,228.3311016530855,10451.273268669576,1.63,3.23,49.53560371517028,45.77244708672542,-0.017073869705200195
Gemma3 270M,fourchip_frontier_fsdp2_tp2,fsdp2/tp2,16,512,,,2.2792809009552,2.3113694190979004,15.454518409998856,0.2417469739993976,114.91784815830646,7346.524221661718,2.65,6.23,57.46388443017657,63.92848751867879,-0.032088518142700195
Gemma3 270M,fourchip_frontier_fsdp2_tp2,fsdp2/tp2,16,1024,,,2.2792809009552,2.311606168746948,30.83149616099945,0.4020122330002778,57.60343224103946,4417.776013295528,5.13,12.66,59.478672985782,76.69293028945751,-0.0323252677917476
Gemma3 270M,fourchip_frontier_fsdp2_tp2,fsdp2/tp2,16,2048,,,2.2821695804595947,,61.62698452999939,,28.81854456363123,,12.03,,,,
Gemma3 270M,fourchip_frontier_fsdp2_tp2,fsdp2/tp2,32,256,,,2.2803869247436523,2.2940025329589844,15.453216900999903,0.2398015840008156,229.85505366006785,14812.24577727526,2.51,6.09,58.78489326765188,64.44167983872593,-0.013615608215332031
Gemma3 270M,fourchip_frontier_fsdp2_tp2,fsdp2/tp2,32,512,,,2.2779381275177,2.2744903564453125,30.822263908999957,0.3907933450009295,115.24137261581336,9089.202888016302,4.56,12.11,62.34516928158547,78.87100510610448,0.0034477710723876953
Gemma3 270M,fourchip_frontier_fsdp2_tp2,fsdp2/tp2,32,1024,,,2.2804834842681885,,61.58846631899905,,57.67313609665687,,9.54,,,,
Gemma3 270M,fourchip_frontier_fsdp2_tp2,fsdp2/tp2,64,256,,,2.251950979232788,2.2626256942749023,30.816426933999537,0.3884143289997155,232.3436138568169,18433.923430268827,4.52,11.83,61.792054099746416,79.33905789047785,-0.010674715042114258
Gemma3 270M,fourchip_frontier_fsdp2_tp2,fsdp2/tp2,64,512,,,2.301398754119873,,61.56533297600072,,116.29921668402407,,8.87,,,,
Gemma3 270M,fourchip_frontier_fsdp2_tp2,fsdp2/tp2,128,256,,,2.2474687099456787,,61.32342482999957,,235.8641912139939,,8.71,,,,
Gemma3 270M,fourchip_frontier_fsdp2_tp2,fsdp2/tp2,128,512,,,2.2610230445861816,,121.80642023499968,,118.74579330132826,,14.76,,,,
Gemma3 270M,fourchip_frontier_fsdp4_tp1,fsdp4/tp1,1,256,,,2.392479658126831,2.432738780975342,0.0904966230000354,0.0889334129997223,1204.4648340077538,1225.6360834857458,0.4626760482788086,0.6323108673095703,26.82775637757795,1.017577308095867,-0.04025912284851074
Gemma3 270M,fourchip_frontier_fsdp4_tp1,fsdp4/tp1,1,512,,,2.3822755813598633,2.568483352661133,0.1007201080001323,0.0919167430001834,1082.2069412381568,1185.855769495471,0.4993457794189453,0.9956254959106444,49.8460232818545,1.0957754236345312,-0.18620777130126953
Gemma3 270M,fourchip_frontier_fsdp4_tp1,fsdp4/tp1,1,1024,,,2.5293304920196533,2.611402988433838,0.1260596490001262,0.1005618030003461,864.6700261706334,1083.9105579642885,0.7632369995117188,1.76,56.63426139137962,1.2535539860964142,-0.08207249641418457
